VID,EID,ASF,STWMV,STPPT,STSLIDES,SLID,SLWMV,SLTN,SLSLIDES,SLPPT,EVTID,Event,Title,Speakers
0364,0071,0364_w.asf,,✅,✅,354,,✅,✅,✅,47,Ready for a New Day,Ready for a New Day,"Wim Van Winge, Carmen Du Bois"
0365,0071,0365_w.asf,, ,✅,355,,✅,✅, ,47,Ready for a New Day,Optimizing Windows Vista and Office 2007 Deployments,David de Backer
0366,0071,0366_w.asf,, ,✅,356,,✅,✅, ,47,Ready for a New Day,Managing Windows Vista and Office 2007,Erik de Bondt
0367,0071,0367_w.asf,, ,✅,357,,✅,✅, ,47,Ready for a New Day,Securing Windows Vista,Arlindo Alves
0368,0071,0368_w.asf,,✅,✅,358,,✅,✅,✅,47,Ready for a New Day,Closing Keynote: Innovating for Business Value,Bill Gates
0369,0072,0369e_w.asf,,✅,✅,359,high,✅,✅,✅,49,Tech.Ed: IT Forum 2006,Advanced Malware Cleaning,Mark Russinovich
0370,0072,0370e_w.asf,,✅,✅,360,,✅,✅,✅,49,Tech.Ed: IT Forum 2006,Windows Vista User Account Control Internals,Mark Russinovich
0371,0072,0371_w.asf,,✅,✅,361,,✅,✅,✅,49,Tech.Ed: IT Forum 2006,Using Application Virtualization to Decrease Your Application Management TCO,"Bill Corrigan, Chad Jones"
0372,0072,0372_w.asf,,✅,✅,362,,✅,✅,✅,49,Tech.Ed: IT Forum 2006,System Center Essentials: Management for the Midsize Businesses and Service Providers,David Mills
0373,0072,0373_w.asf,, ,✅,363,,✅,✅, ,49,Tech.Ed: IT Forum 2006,Optimizing Your IT Infrastructure: Why It Matters and How to Achieve It,Tim Sinclair
0374,0073,0374_w.asf,,✅,✅,364,,✅,✅,✅,50,Briefing Grands Comptes 2006 - Spéciale Lancement,Introduction: People Ready,"Philippe Ouensanga, Laurent Delaporte"
0375,0073,0375_w.asf,, ,✅,365,,✅,✅, ,50,Briefing Grands Comptes 2006 - Spéciale Lancement,"L'intégration de la communication, l'accès à l'information et la collaboration",Yves Cazeau
0376,0073,0376_w.asf,, ,✅,366,,✅,✅, ,50,Briefing Grands Comptes 2006 - Spéciale Lancement,Démonstration du Lancement,"Renaud Marcadet, Benjamin Nathan"
0377,0073,0377_w.asf,,✅,✅,367,,✅,✅,✅,50,Briefing Grands Comptes 2006 - Spéciale Lancement,Actualité Systèmes d'exploitation Serveur et Virtualization,Fabrice Meillon
0378,0073,0378_w.asf,,✅,✅,368,,✅,✅,✅,50,Briefing Grands Comptes 2006 - Spéciale Lancement,Infrastructure de la Plateforme Applicative,Régis Mauger
0379,0073,0379_w.asf,,✅,✅,369,,✅,✅,✅,50,Briefing Grands Comptes 2006 - Spéciale Lancement,Actualité Administration des Systèmes,Fabrice Meillon
0380,0073,0380_w.asf,,✅,✅,370,,✅,✅,✅,50,Briefing Grands Comptes 2006 - Spéciale Lancement,L'offre Securité,Stanislas Quastana
0381,0073,0381_w.asf,, ,✅,371,,✅,✅, ,50,Briefing Grands Comptes 2006 - Spéciale Lancement,Schneider Electric Devient éditeur de Logiciel,"Alain Fuss, Patrick Bouteiller"
0382,0073,0382_w.asf,,✅,✅,372,,✅,✅,✅,50,Briefing Grands Comptes 2006 - Spéciale Lancement,Technologies SharePoint - De la Collaboration à la Recherche d'entreprise,"Benjamin Nathan, Patrick Guimonet"
0383,0073,0383_w.asf,, ,✅,373,,✅,✅, ,50,Briefing Grands Comptes 2006 - Spéciale Lancement,Déploiement d'un Master Windows Vista - Office 2007 ,Fabrice Meillon
0384,0073,0384_w.asf,,✅,✅,374,,✅,✅,✅,50,Briefing Grands Comptes 2006 - Spéciale Lancement,Business Intelligence: Améliorer la Capacité d'analyse et de Décision de vos équipes,"Philippe Blondet,Patrick Guimonet"
0385,0073,0385_w.asf,,✅,✅,375,,✅,✅,✅,50,Briefing Grands Comptes 2006 - Spéciale Lancement,Microsoft Dynamics CRM: une application métier étroitement intégrée avec Office,Vincent Poncet
0386,0073,0386_w.asf,,✅,✅,376,,✅,✅,✅,50,Briefing Grands Comptes 2006 - Spéciale Lancement,Exchange Server 2007 ou l'ère des solutions de Communications unifiées.,"Christophe Vallée, Gwenaël Fourré"
0387,0073,0387_w.asf,,✅,✅,377,,✅,✅,✅,50,Briefing Grands Comptes 2006 - Spéciale Lancement,Démonstration des nouveautés liées au déploiement de Windows Vista et Microsoft Office 2007 ,Fabrice Meillon
0388,0073,0388_w.asf,,✅,✅,378,,✅,✅,✅,50,Briefing Grands Comptes 2006 - Spéciale Lancement,Démonstration des fonctions de sécurité de Windows Vista,Stanislas Quastana
0389,,,,,,379,,,,,,,,
0390,0074,0390_w.asf,, ,✅,380,,✅,✅, ,51,Office Day,Office Day - 2007 Office System und Office SharePoint Server 2007 (Session 1),"Daniel Melanchthon, Steffen Krause"
0391,0074,0391_w.asf,, ,✅,381,,✅,✅, ,51,Office Day,Office Day - 2007 Office System und Office SharePoint Server 2007 (Session 2),"Daniel Melanchthon, Steffen Krause"
0392,0074,0392_w.asf,, ,✅,382,,✅,✅, ,51,Office Day,Office Day - 2007 Office System und Office SharePoint Server 2007 (Session 3),"Daniel Melanchthon, Steffen Krause"
0393,0074,0393_w.asf,, ,✅,383,,✅,✅, ,51,Office Day,Office Day - 2007 Office System und Office SharePoint Server 2007 (Session 4),"Daniel Melanchthon, Steffen Krause"
0394,0074,0394_w.asf,, ,✅,384,,✅,✅, ,51,Office Day,Office Day - 2007 Office System und Office SharePoint Server 2007 (Session 5),"Daniel Melanchthon, Steffen Krause"
0395,0075,0395_w.asf,,✅,✅,385,,✅,✅,✅,52,Windows Vista & IE Readiness Tour,Internet Explorer 7 - Part 1 ,Cyra Richardson
0396,0075,0396_w.asf,,✅,✅,386,,✅,✅,✅,52,Windows Vista & IE Readiness Tour,Internet Explorer 7 - Part 2,Cyra Richardson
0397,0075,0397_w.asf,,✅,✅,387,,✅,✅,✅,52,Windows Vista & IE Readiness Tour,"Top 10 Ways to ""Light Up"" Your Application on Windows Vista",Catherine Heller
0398,0075,0398_w.asf,,✅,✅,388,,✅,✅,✅,52,Windows Vista & IE Readiness Tour,Tips and Tricks for Using Key Windows Vista Native APIs from Managed Code,Catherine Heller
0399,0076,0399_w.asf,,✅,✅,389,,✅,✅,✅,53,TechNet Infrastructure Roadshow,Key Note - L'infrastruttura per le Aziende People Ready,Carlo Mezzanotte
0400,0076,0400_w.asf,,✅,✅,390,,✅,✅,✅,53,TechNet Infrastructure Roadshow,Gestione dell'Installazione e Aggiornamento del Sistema Operativo - I Parte,Piergiorgio Malusardi
0401,0076,0401_w.asf,,✅,✅,391,,✅,✅,✅,53,TechNet Infrastructure Roadshow,Gestione dell'Installazione e Aggiornamento del Sistema Operativo - II Parte,Fabrizio Grossi
0402,0076,0402_w.asf,,✅,✅,392,,✅,✅,✅,53,TechNet Infrastructure Roadshow,Salvaguardia dei Dati Aziendali,"Piergiorgio Malusardi, Fabrizio Grossi"
0403,0076,0403_w.asf,,✅,✅,393,,✅,✅,✅,53,TechNet Infrastructure Roadshow,Protezione dei Server e dei Client,"Piergiorgio Malusardi, Fabrizio Grossi"
0404,0072,0404_w.asf,,✅,✅,394,,✅,✅,✅,54,TechDays07,Plénière Développeurs,Marc Jalabert
0405,0077,0405_w.asf,,✅,✅,395,,✅,✅,✅,54,TechDays07,Sécurité Numérique et Tendances d'Innovation,Alfonso Castro
0406,0077,0406_w.asf,,✅,✅,396,,✅,✅,✅,54,TechDays07,Un Monde d'Innovations à Votre Service,Laurent Delaporte
0407,0077,0407_w.asf,,✅,✅,397,,✅,✅,✅,54,TechDays07,Déployer l'Isolation par IPsec,Christian-Pierre Belin
0408,0077,0408_w.asf,,✅,✅,398,,✅,✅,✅,54,TechDays07,Outils et Ressources à Votre Disposition Autour de la Sécurité,Mathieu Malaise
0409,0077,0409_w.asf,,✅,✅,399,,✅,✅,✅,54,TechDays07,Quand les Technologies Microsoft se Mettent au Service de la Maison,Guillaume Pelletier
0410,0077,0410_w.asf,, ,✅,400,,✅,✅, ,54,TechDays07,Les Nouveautés d'Office Access 2007,Maxence Hubiche
0411,0077,0411_w.asf,,✅,✅,401,,✅,✅,✅,54,TechDays07,Nouveautés Wi-Fi avec Windows Vista,Pascal Saulière
0412,0077,0412_w.asf,,✅,✅,402,,✅,✅,✅,54,TechDays07,Format de Documents et Interopérabilité,Marc Gardette
0413,0077,0413_w.asf,,✅,✅,403,,✅,✅,✅,54,TechDays07,Antigen ou Forefront ?,Gordana Cindric
0414,0077,0414_w.asf,, ,✅,404,,✅,✅, ,54,TechDays07,PowerShell: Nouvel Outil de Script sous Windows,"Mouloud Amazit, Antoine Habert"
0415,0077,0415_w.asf,,✅,✅,405,,✅,✅,✅,54,TechDays07,"Retour d'Expérience de l'Informatique Interne Microsoft (Exchange, ADFS, Cartes à Puce,...)",Cyril Carbonati
0416,0077,0416_w.asf,,✅,✅,406,,✅,✅,✅,54,TechDays07,Nouveautés d'Internet Explorer 7.0,Bernard Ourghanlian
0417,0077,0417_w.asf,,✅,✅,407,,✅,✅,✅,54,TechDays07,Vue d'Ensemble de l'Offre System Center,"Thiebault Riegel, Geneviève Koehler"
0418,0077,0418_w.asf,,✅,✅,408,,✅,✅,✅,54,TechDays07,Déploiement d'Applications Virtualisées (Softricity),Jérôme Boulon
0419,0077,0419_w.asf,,✅,✅,409,,✅,✅,✅,54,TechDays07,Vue d'Ensemble de System Center Configuration Manager 2007,"Fabrice Meillon, Hervé Thibault"
0420,0077,0420_w.asf,, ,✅,410,,✅,✅, ,54,TechDays07,Découvrir le Futur de Live Communications Server: Microsoft Office Communications Server 2007,Gwénaël Fourré
0421,0078,0421_w.asf,,✅,✅,411,,✅,✅,✅,60,MS Zirve 2007,,
0422,0078,0422_w.asf,,✅,✅,412,,✅,✅,✅,60,MS Zirve 2007,,
0423,0078,0423_w.asf,,✅,✅,413,,✅,✅,✅,60,MS Zirve 2007,,
0424,0078,0424_w.asf,,✅,✅,414,,✅,✅,✅,60,MS Zirve 2007,,
0425,0078,0425_w.asf,,✅,✅,415,,✅,✅,✅,60,MS Zirve 2007,,
0426,0078,0426_w.asf,,✅,✅,416,,✅,✅,✅,60,MS Zirve 2007,,
0427,0078,0427_w.asf,,✅,✅,417,,✅,✅,✅,60,MS Zirve 2007,,
0428,0078,0428_w.asf,,✅,✅,418,,✅,✅,✅,60,MS Zirve 2007,,
0429,0078,0429_w.asf,,✅,✅,419,,✅,✅,✅,60,MS Zirve 2007,,
0430,0078,0430_w.asf,,✅,✅,420,,✅,✅,✅,60,MS Zirve 2007,,
0431,0078,0431_w.asf,,✅,✅,421,,✅,✅,✅,60,MS Zirve 2007,,
0432,0078,0432_w.asf,,✅,✅,422,,✅,✅,✅,60,MS Zirve 2007,,
0433,0078,0433_w.asf,,✅,✅,423,,✅,✅,✅,60,MS Zirve 2007,,
0434,,,,,,424,,,,,,,,
0435,,,,,,425,,,,,,,,
0436,0078,0436_w.asf,,✅,✅,426,,✅,✅,✅,60,MS Zirve 2007,,
0437,0078,0437_w.asf,high,✅,✅,427,high,✅,✅,✅,60,MS Zirve 2007,,
0438,0078,0438_w.asf,,✅,✅,428,,✅,✅,✅,60,MS Zirve 2007,,
0439,0078,0439_w.asf,,✅,✅,429,,✅,✅,✅,60,MS Zirve 2007,,
0440,0078,0440_w.asf,,✅,✅,430,,✅,✅,✅,60,MS Zirve 2007,,
0441,0078,0441_w.asf,,✅,✅,431,,✅,✅,✅,60,MS Zirve 2007,,
0442,0078,0442_w.asf,,✅,✅,432,,✅,✅,✅,60,MS Zirve 2007,,
0443,0078,0443_w.asf,,✅,✅,433,,✅,✅,✅,60,MS Zirve 2007,,
0444,0078,0444_w.asf,,✅,✅,434,,✅,✅,✅,60,MS Zirve 2007,,
0445,,,,,,435,,,,,,,,
0446,0079,0446_w.asf,,✅,✅,436,,✅,✅,✅,56,BI Tour 2007,Designing and Deploying Performance Management Applications with Office OBA,Kristina Kerr
0447,0079,0447_w.asf,,✅,✅,437,,✅,✅,✅,56,BI Tour 2007,"France Office 2007 BI Capabilities: Excel, SharePoint/Excel Services",Kristina Kerr
0448,0079,0448_w.asf,,✅,✅,438,,✅,✅,✅,56,BI Tour 2007,Enterprise Reporting with SQL Server Reporting Services,Marin Bezic
0449,0079,0449_w.asf,,✅,✅,439,,✅,✅,✅,56,BI Tour 2007,Creating High Impact Data Warehouse - I,Marin Bezic
0450,0079,0450_w.asf,,✅,✅,440,,✅,✅,✅,56,BI Tour 2007,Microsoft BI Overview,"Marin Bezic, Kristina Kerr"
0451,0080,0451_w.asf,,✅,✅,441,,✅,✅,✅,55,Licencné Programy Spolocnosti Microsoft,,
0452,0080,0452_w.asf,,✅,✅,442,,✅,✅,✅,55,Licencné Programy Spolocnosti Microsoft,,
0453,0080,0453_w.asf,,✅,✅,443,,✅,✅,✅,55,Licencné Programy Spolocnosti Microsoft,,
0454,0081,0454_w.asf,,✅,✅,444,,✅,✅,✅,57,TechNet Live (Danmark),Jeff - System Center Keynote.pdf,
0455,0081,0455_w.asf,,✅,✅,445,,✅,✅,✅,57,TechNet Live (Danmark),,
0456,0081,0456_w.asf,,✅,✅,446,,✅,✅,✅,57,TechNet Live (Danmark),REMA 1000 Knudsen Consulting.pdf,
0457,0081,0457_w.asf,, ,✅,447,,✅,✅, ,57,TechNet Live (Danmark),,
0458,0081,0458_w.asf,,✅,✅,448,,✅,✅,✅,57,TechNet Live (Danmark),,
0459,0081,0459_w.asf,, ,✅,449,,✅,✅, ,57,TechNet Live (Danmark),,
0460,0081,0460_w.asf,,✅,✅,450,,✅,✅,✅,57,TechNet Live (Danmark),,
0461,0081,0461_w.asf,,✅,✅,451,,✅,✅,✅,57,TechNet Live (Danmark),,
0462,0081,0462_w.asf,,✅,✅,452,,✅,✅,✅,57,TechNet Live (Danmark),MOM Alarm Manager.pdf,
0463,0081,0463_w.asf,,✅,✅,453,,✅,✅,✅,57,TechNet Live (Danmark),0463 Client Management and deployment -Softgrid,
0464,0081,0464_w.asf,,✅,✅,454,,✅,✅,✅,57,TechNet Live (Danmark),,
0465,0081,0465_w.asf,,✅,✅,455,,✅,✅,✅,57,TechNet Live (Danmark),Desktop sikkerhet,
0466,0081,0466_w.asf,,✅,✅,456,,✅,✅,✅,57,TechNet Live (Danmark),,
0467,0081,0467_w.asf,,✅,✅,457,,✅,✅,✅,57,TechNet Live (Danmark),,
0468,0082,0468_w.asf,,✅,✅,458,,✅,✅,✅,58,Windows Small Business Server 2003 R2,,
0469,0082,0469_w.asf,,✅,✅,459,,✅,✅,✅,58,Windows Small Business Server 2003 R2,,
0470,0083,0470_w.asf,,✅,✅,460,,✅,✅,✅,59,Vecerní Univerzita,,
0471,0083,0471_w.asf,,✅,✅,461,,✅,✅,✅,59,Vecerní Univerzita,,
0472,0083,0472_w.asf,,✅,✅,462,,✅,✅,✅,59,Vecerní Univerzita,,
0473,0083,0473_w.asf,,✅,✅,463,,✅,✅,✅,59,Vecerní Univerzita,,
0474,,,,,,464,,,,,,,,
0475,0079,0475_w.asf,,✅,✅,465,,✅,✅,✅,56,BI Tour 2007,Creating High Impact Data Warehouse - II,Marin Bezic
0476,0084,0476_w.asf,,✅,✅,466,,✅,✅,✅,64,Multilicenční Programy,0476 Enterprise,
0477,0084,0477_w.asf,,✅,✅,467,,✅,✅,✅,64,Multilicenční Programy,0477 Select,
0478,0085,0478a_w.asf,,✅,✅,468,high,✅,✅,✅,61,Virtualization Tour,Microsoft Virtualisation: Today and Tomorrow,Ronald Beekelaar
0479,0085,0479a_w.asf,,✅,✅,469,high,✅,✅,✅,61,Virtualization Tour,Managing a Mixed Virtual/Physical Environment: Tools and Techniques,Ronald Beekelaar
0480,0085,0480a_w.asf,,✅,✅,470,high,✅,✅,✅,61,Virtualization Tour,Microsoft Virtualisation Deep Dive,Ronald Beekelaar
0481,0085,0481a_w.asf,,✅,✅,471,high,✅,✅,✅,61,Virtualization Tour,"Practical Advice on Adoption, Deployment and Migration",Ronald Beekelaar
0482,0086,0482_w.asf,,✅,✅,472,high,✅,✅,✅,73,Building End-to-End Infrastructure Security,Is Your IT Infrastructure Secure?,"John Craddock, Sally Storey"
0483,0086,0483_w.asf,,✅,✅,473,high,✅,✅,✅,73,Building End-to-End Infrastructure Security,Securing Your Network,"John Craddock, Sally Storey"
0484,0086,0484_w.asf,,✅,✅,474,high,✅,✅,✅,73,Building End-to-End Infrastructure Security,Locking Down Servers and Workstations,"John Craddock, Sally Storey"
0485,0086,0485_w.asf,,✅,✅,475,high,✅,✅,✅,73,Building End-to-End Infrastructure Security,Vista Technologies,"John Craddock, Sally Storey"
0486,,,,,,476,,,,,,,,
0487,0087,0487a_w.asf,,✅,✅,477,high,✅,✅,✅,62,You're in Control,"You're in Control: Manage Complexity, Achieve Agility, Secure Your Environment",Bob Muglia
0488,0087,0488a_w.asf,,✅,✅,478,high,✅,✅,✅,62,You're in Control,Anti-Malware Protection A Technical Deep-Dive into Forefront Client Security,"Brendan Foley, Anthony Chavez"
0489,0087,0489a_w.asf,,✅,✅,479,high,✅,✅,✅,62,You're in Control,Managing Messaging and Collaboration System Threat Protection: A Technical Deep-Dive of Forefront Server Security,"Joe Licari, Neetu Rajpal"
0490,0087,0490a_w.asf,,✅,✅,480,high,✅,✅,✅,62,You're in Control,Remote Access to Applications: A Technical Deep-Dive into Intelligent Application Gateway 2007,Uri Lichtenfeld
0491,0087,0491a_w.asf,,✅,✅,481,high,✅,✅,✅,62,You're in Control,Network Edge Protection: A Technical Deep-Dive into Internet Security and Acceleration Server 2006,Kuleen Bharadwaj
0492,0087,0492a_w.asf,,✅,✅,482,high,✅,✅,✅,62,You're in Control,End to End Service Management: Technical Best Practices with System Center Operations Manager 2007,Robert D. Reynolds
0493,0087,0493a_w.asf,,✅,✅,483,high,✅,✅,✅,62,You're in Control,"Plan, Build, and Deploy: Technical Best Practices with SMS 2003 and System Center Configuration Manager 2007",Dan Ward
0494,0087,0494_w.asf,,✅,✅,484,high,✅,✅,✅,62,You're in Control,Unified Management for Midsized Businesses: A Technical Overview of System Center Essentials 2007,David Mills
0495,0087,0495_w.asf,,✅,✅,485,high,✅,✅,✅,62,You're in Control,"Data Back-up and Recovery for SQL, Exchange, and Vista Information: A Technical Overview of System Center Data Protection Manager",Jason Buffington
0496,0088,0496_w.asf,,✅,✅,486,,✅,✅,✅,63,Windows Server Longhorn Press,Server Management - Windows PowerShell & Server Manager,Scott Ottaway
0497,0088,0497_w.asf,,✅,✅,487,,✅,✅,✅,63,Windows Server Longhorn Press,Web Platform with Longhorn Server,Isaac Roybal
0498,0088,0498_w.asf,,✅,✅,488,,✅,✅,✅,63,Windows Server Longhorn Press,Server Virtualization,Bryon Surace
0499,0088,0499_w.asf,,✅,✅,489,,✅,✅,✅,63,Windows Server Longhorn Press,High Availability,"Manish Kalra, Kurt Friedrich"
0500,0088,0500_w.asf,,✅,✅,490,,✅,✅,✅,63,Windows Server Longhorn Press,Centralized Application Access,Alex Balcanquall
0501,0088,0501_w.asf,hd,✅,✅,491,hd,✅,✅,✅,63,Windows Server Longhorn Press,Security & Policy Enforcement - Network Access Protection,Graziano Galante
0502,0088,0502_w.asf,,✅,✅,492,,✅,✅,✅,63,Windows Server Longhorn Press,Server Management - Server Core,Andrew Mason
0503,,,,,,493,,,,,,,,
0504,0089,0504_w.asf,, , ,494,,✅,✅,,77,Documentaries,Software in the 21st Century: A Fascinating View on Next Generation Computer Systems,Andrew Herbert
0505,,,,,,495,,,,,,,,
0506,0090,0506_w.asf,,✅,✅,496,high,✅,✅,✅,74,Office Communications Server 2007 Ignite Tour,,
0507,0090,0507_w.asf,,✅,✅,497,high,✅,✅,✅,74,Office Communications Server 2007 Ignite Tour,,
0508,0090,0508a_w.asf,,✅,✅,498,high,✅,✅,✅,74,Office Communications Server 2007 Ignite Tour,,
0509,0090,0509_w.asf,,✅,✅,499,high,✅,✅,✅,74,Office Communications Server 2007 Ignite Tour,,
0510,0090,0510_w.asf,,✅,✅,500,high,✅,✅,✅,74,Office Communications Server 2007 Ignite Tour,,
0511,0090,0511_w.asf,,✅,✅,501,high,✅,✅,✅,74,Office Communications Server 2007 Ignite Tour,,
0512,0090,0512_w.asf,,✅,✅,502,high,✅,✅,✅,74,Office Communications Server 2007 Ignite Tour,,
0513,0090,0513_w.asf,,✅,✅,503,high,✅,✅,✅,74,Office Communications Server 2007 Ignite Tour,,
0514,0090,0514_w.asf,,✅,✅,504,high,✅,✅,✅,74,Office Communications Server 2007 Ignite Tour,,
0515,,,, , ,505,,,,,,,,
0516,,,, , ,506,,,,,,,,
0517,0091,0517_w.asf,,✅,✅,507,high,✅,✅,✅,75,WinHEC 2007,Windows Memory Management Advance,Landy Wang
0518,0091,0518_w.asf,,✅,✅,508,high,✅,✅,✅,75,WinHEC 2007,PCI I/O Virtualization Standards: Implementation,"Mike Krause, Renato Recio"
0519,0091,0519_w.asf,,✅,✅,509,high,✅,✅,✅,75,WinHEC 2007,Future of Memory and Storage ,Dean A. Klein
0520,0091,0520_w.asf,,✅,✅,510,high,✅,✅,✅,75,WinHEC 2007,UEFI Implementation Guidelines ,Andrew Ritz
0521,0091,0521_w.asf,,✅,✅,511,high,✅,✅,✅,75,WinHEC 2007,Windows Server Longhorn,Iain McDonald
0522,0091,0522_w.asf,,✅,✅,512,high,✅,✅,✅,75,WinHEC 2007,Dynamic Partitioning: Windows Server ,Davis Walker
0523,0091,0523a_w.asf,,✅,✅,513,high,✅,✅,✅,75,WinHEC 2007,WHEA Systems: Design and Implementation,"John Strange, Mukund Khatri"
0524,0091,0524_w.asf,,✅,✅,514,high,✅,✅,✅,75,WinHEC 2007,Power Management: Windows Server ,Stephen Berard
0525,0091,0525_w.asf,,✅,✅,515,high,✅,✅,✅,75,WinHEC 2007,Virtualization in Windows Server,Mike Neil
0526,0091,0526_w.asf,,✅,✅,516,high,✅,✅,✅,75,WinHEC 2007,The 10 Most Important Things About Failover Clustering ,Jim Teague
0527,0091,0527_w.asf,,✅,✅,517,high,✅,✅,✅,75,WinHEC 2007,Application and Presentation Virtualization,Alex Balcanquall
0528,0091,0528_w.asf,,✅,✅,518,high,✅,✅,✅,75,WinHEC 2007,NPIV SAN Integration and Microsoft Virtualization ,"Therron Powell, Mark Karnowski"
0529,,,, , ,519,,,,,,,,
0530,0092,0530_w.asf,,✅,✅,520,,✅,✅,✅,67,Advanced Technologies,0530_pavlis_ForeFront_Client_Upr,
0531,0092,0531_w.asf,,✅,✅,521,,✅,✅,✅,67,Advanced Technologies,0531_Setka_FSS,
0532,0092,0532_w.asf,,✅,✅,522,,✅,✅,✅,67,Advanced Technologies,0532_Setka_SCE,
0533,0092,0533_w.asf,,✅,✅,523,,✅,✅,✅,67,Advanced Technologies,0533_Rudisar_DPM2007,
0534,0092,0534_w.asf,,✅,✅,524,,✅,✅,✅,67,Advanced Technologies,0534_SCCM2007 overview,
0535,0092,0535_w.asf,,✅,✅,525,,✅,✅,✅,67,Advanced Technologies,0535_Vysek_scom2007,
0536,0092,0536_w.asf,,✅,✅,526,,✅,✅,✅,67,Advanced Technologies,0536_System Center Service Manager,
0537,0092,0537_w.asf,,✅,✅,527,,✅,✅,✅,67,Advanced Technologies,0537_Pavlis_ISA_Exchange,
0538,0092,0538_w.asf,,✅,✅,528,,✅,✅,✅,67,Advanced Technologies,0538_Pavlis_IAG2007,
0539,0093,0539_w.asf,,✅,✅,529,high,✅,✅,✅,65,Tech Ed US 2007,Keynote: Dynamic IT for the People-Ready Business,Bob Muglia
0540,0093,0540_w.asf,,✅,✅,530,high,✅,✅,✅,65,Tech Ed US 2007,The Fortified Data Center in Your Future,Steve Riley
0541,0093,0541a_w.asf,,✅,✅,531,high,✅,✅,✅,65,Tech Ed US 2007,Windows Server 2008 Deployment Overview,"Michael Niehaus, Tim Mintner"
0542,,,,✅,✅,532,,,✅,✅,65,Tech Ed US 2007,Third Annual Business Intelligence Power Hour,Bill Baker
0543,0093,0543_w.asf,,✅,✅,533,high,✅,✅,✅,65,Tech Ed US 2007,"New Cryptography: Algorithms, APIs, and Architecture",Rafal Lukawiecki
0544,0093,0544_w.asf,,✅,✅,534,high,✅,✅,✅,65,Tech Ed US 2007,Managing Windows Server 2008 with Server Manager,Dan Harman
0545,0093,0545_w.asf,,✅,✅,535,high,✅,✅,✅,65,Tech Ed US 2007,Microsoft Office SharePoint Server 2007 Overview,Thomas Rizzo
0546,0093,0546_w.asf,,✅,✅,536,high,✅,✅,✅,65,Tech Ed US 2007,Microsoft SoftGrid Application Virtualization,Chad Jones
0547,0093,0547_w.asf,,✅,✅,537,high,✅,✅,✅,65,Tech Ed US 2007,Microsoft IT - Identity Management and Access Management,Brian Puhl
0548,0093,0548_w.asf,,✅,✅,538,high,✅,✅,✅,65,Tech Ed US 2007,Predictive Analytics with Microsoft SQL Server 2005,Donald Farmer
0549,0093,0549_w.asf,,✅,✅,539,high,✅,✅,✅,65,Tech Ed US 2007,Windows Mobile 6 Security In-Depth,Steve Riley
0550,0093,0550a_w.asf,hd,✅,✅,540,high,✅,✅,✅,65,Tech Ed US 2007,Making the Tradeoff: Be Secure or Get Work Done,Steve Riley
0551,0093,0551_w.asf,,✅,✅,541,high,✅,✅,✅,65,Tech Ed US 2007,Virus Scanning and Content Filtering for Microsoft Office SharePoint Server 2007,Scot Hillier
0552,0093,0552_w.asf,,✅,✅,542,high,✅,✅,✅,65,Tech Ed US 2007,Microsoft Windows PowerShell Scripting for Microsoft Exchange Server 2007,Evan Dodds
0553,0093,0553_w.asf,,✅,✅,543,high,✅,✅,✅,65,Tech Ed US 2007,Using Group Policy with Windows and Windows Server 2008 ,"Mazhar Mohammed, Derek Melber"
0554,0093,0554_w.asf,,✅,✅,544,high,✅,✅,✅,65,Tech Ed US 2007,Windows Internet Explorer 7 Security In-Depth,Markellos Diorinos
0555,0093,0555_w.asf,,✅,✅,545,high,✅,✅,✅,65,Tech Ed US 2007,Microsoft Windows PowerShell: The Future of Server Administration,Don Jones
0556,0093,0556_w.asf,,✅,✅,546,high,✅,✅,✅,65,Tech Ed US 2007,Deploying and Managing a Windows-based High-Performance Compute Cluster,Doug Lindsey
0557,0093,0557_w.asf,,✅,✅,547,high,✅,✅,✅,65,Tech Ed US 2007,Using Zero Touch Provisioning,David Clark
0558,0093,0558_w.asf,,✅,✅,548,high,✅,✅,✅,65,Tech Ed US 2007,Developing More Intelligent Applications with Data Mining,Rafal Lukawiecki
0559,0093,0559_w.asf,,✅,✅,549,high,✅,✅,✅,65,Tech Ed US 2007,Secrets to Fast Detection and Recovery from Database Corruptions,Paul Randal
0560,0093,0560a_w.asf,,✅,✅,550,high,✅,✅,✅,65,Tech Ed US 2007,Microsoft.com: Employing Windows Server 2008 and Internet Information Services 7 ,"Paul Wright, Brad LeRoss"
0561,0093,0561_w.asf,,✅,✅,551,high,✅,✅,✅,65,Tech Ed US 2007,Planning a Successful Microsoft Operations Manager 2007 Deployment with Microsoft System Center Capacity Planner 2007,Dale Koetke
0562,0093,0562_w.asf,,✅,✅,552,high,✅,✅,✅,65,Tech Ed US 2007,Microsoft System Center Data Protection Manager (DPM) 2007: How to Protect Microsoft SQL Server ,Jason Buffington
0563,,,, , ,553,,,,,,,,
0564,,,, , ,554,,,,,,,,
0565,0094,0565_w.asf,,✅,✅,555,,✅,✅,✅,68,TechNet Security Workshop VII,0565_Keynote_Microsoft_Italia_e_le_sfide_della_Sicurezza_Informatica_fin,
0566,0094,0566_w.asf,,✅,✅,556,,✅,✅,✅,68,TechNet Security Workshop VII,0566_Windows Server 2008 Kernel Security - Giorgini_fin,
0567,0094,0567_w.asf,,✅,✅,557,,✅,✅,✅,68,TechNet Security Workshop VII,0567_W2K8-NetworkAccessProtection_fin,
